 I  J	QI  QM	QL  CP	DS7	DS9
           7           7   3.9903658213001854       -1.9867742889262741E-002  0.31506533704266920      -0.57121348272559525        6.9363450479744640E-002  0.99759145532504634     
           8           7   3.9767769394953874       -3.1108063337923458E-002  0.13386111145910246      -0.77001731350183233       0.10760029434721023       0.99419423487384684     
           9           7   3.9693324093247586       -3.2044539457088461E-002  -1.2865022895487814E-002 -0.76532538805490102       0.12359212765284332       0.99233310233118954     
          10           7   3.9650926279487679       -2.5700586782787010E-002 -0.11816846701983849      -0.60973332365631427       0.13182385306402544       0.99127315698719198     
           1           8  -3.9964178488459026        2.8314488167123647E-002  -7.6809567496248426E-002  0.22559092068022502       -4.2311624751576460E-002 -0.99910446221147553     
           2           8  -3.9948755219492291        3.6064913751425058E-002  -8.1877280005751618E-002  0.29015740850532429       -5.0602349334587966E-002 -0.99871888048730728     
           3           8  -3.9910991421344919        4.2665610149637843E-002  -9.2144907220116631E-002  0.40566957312629937       -6.6674413033283267E-002 -0.99777478553362287     
           4           8  -3.9779225452613423        4.4619570540423877E-002  -8.1469568560928005E-002  0.55657308477582890      -0.10492027446516437      -0.99448063631533545     
           5           8  -3.8789846038036240        3.4563194308480774E-002  0.41860351383522915       0.88387781195696935      -0.24411555197467996      -0.96974615095090599     
           6           8   3.9896149946030373       -1.0162090537338549E-002  0.72466166886339567      -0.36773121075701132       -7.2012236303374680E-002  0.99740374865075920     
           7           8   3.9903658213001854       -3.3161442543903505E-002  0.27890955526167227      -0.48553329348787255        6.9363450479744654E-002  0.99759145532504645     
           8           8   3.9767769394953874       -4.9973644742254311E-002  0.11926442419050089      -0.65909820382859863       0.10760029434721023       0.99419423487384684     
           9           8   3.9693324093247586       -5.2337859863633707E-002  -5.2049459798125782E-003 -0.66206544129204425       0.12359212765284334       0.99233310233118965     
          10           8   3.9650926279487679       -4.3150279389893603E-002  -9.3917583745851074E-002 -0.53530980632619773       0.13182385306402544       0.99127315698719198     
           1           9  -3.9964178488459026        3.9127327477238127E-002  -5.2398777509814073E-002  0.15213765512923966       -4.2311624751576460E-002 -0.99910446221147553     
           2           9  -3.9948755219492291        4.7645225991108278E-002  -6.4771108948448133E-002  0.19189601437879478       -5.0602349334587966E-002 -0.99871888048730728     
           3           9  -3.9910991421344919        5.0878549983882387E-002  -8.3303233463360826E-002  0.28562725420603091       -6.6674413033283267E-002 -0.99777478553362287     
           4           9  -3.9779225452613423        5.1112913429294596E-002  -8.9111921792523405E-002  0.42103224252727761      -0.10492027446516439      -0.99448063631533545     
           5           9  -3.8789846038036240        4.6648787479405880E-002  0.29954544218261370       0.72423760938092840      -0.24411555197467999      -0.96974615095090611     
           6           9   3.9896149946030373       -1.5519424456922826E-002  0.57163831854860014      -0.24986451384088201       -7.2012236303374694E-002  0.99740374865075931     
           7           9   3.9903658213001854       -4.2799820865155838E-002  0.22716932940725970      -0.35867516911120012        6.9363450479744640E-002  0.99759145532504645     
           8           9   3.9767769394953874       -5.7683225114830629E-002   9.9567666171166247E-002 -0.50274907735599184       0.10760029434721026       0.99419423487384695     
           9           9   3.9693324093247586       -6.1617253676817765E-002   2.2141361661871988E-003 -0.51128093977199851       0.12359212765284332       0.99233310233118954     
          10           9   3.9650926279487679       -5.5784179656911806E-002  -6.5023579701313922E-002 -0.41986720393797555       0.13182385306402544       0.99127315698719198     
           1          10  -3.9964178488459026        2.1967470943647101E-002  -2.7538406497538033E-002   5.4909082093050329E-002  -4.2311624751576460E-002 -0.99910446221147553     
           2          10  -3.9948755219492291        2.6265281529138863E-002  -5.5907902111379006E-002   6.5161145586888972E-002  -5.0602349334587959E-002 -0.99871888048730717     
           3          10  -3.9910991421344919        2.5978099002911443E-002  -8.5943595084780833E-002  0.15451119684057762       -6.6674413033283267E-002 -0.99777478553362275     
           4          10  -3.9779225452613423        2.4788828058155549E-002  -9.0808044408312291E-002  0.29635052653732952      -0.10492027446516437      -0.99448063631533545     
