 I  J	QI  QM	QL  CP	DS7	DS9
           5          10 -0.96974615095090599        1.0004971696182008E-002   9.0405179949036144E-002  0.78061377923521302      -0.24411555197467996      -0.96974615095090599     
           6          10  0.99740374865075931       -3.2322444406491010E-003  0.15733371231160029      -0.31407008883216903       -7.2012236303374680E-002  0.99740374865075920     
           7          10  0.99759145532504634       -1.0086380032745045E-002   6.0495866511748507E-002 -0.41559697606449147        6.9363450479744640E-002  0.99759145532504634     
           8          10  0.99419423487384684       -1.4806040714617438E-002   2.6282715151390988E-002 -0.57025254360096878       0.10760029434721023       0.99419423487384684     
           9          10  0.99233310233118965       -1.5239413305597180E-002  -5.1142604240956560E-004 -0.57382750800820659       0.12359212765284333       0.99233310233118954     
          10          10  0.99127315698719198       -1.2531569292207716E-002  -1.9046193856586738E-002 -0.46941399049045951       0.13182385306402547       0.99127315698719209     
 I  J	QI  QM	QL  CP	DS7	DS9
           1           1 -0.99600658979483614       -1.2851683258267532E-002  -1.5104115835301954E-002   9.6465866325767979E-002  -4.0573600178046537E-002 -0.99917655245136339     
           2           1 -0.99556601988083981       -1.4811537128043591E-002  -1.9430506988394526E-002   8.1929686503957863E-002  -4.8864982943985946E-002 -0.99880539317821260     
           3           1 -0.99437622895129330       -1.6958461219746517E-002  -2.2035365744623364E-002   9.5386989499714886E-002  -6.4938664596747714E-002 -0.99788925730282874     
           4           1 -0.99008856671778489       -1.6831900608221678E-002  -1.4594789278469073E-002  0.12254101681648741      -0.10319019839709984      -0.99466164244670008     
           5           1 -0.96053671396209661       -1.2243531459109834E-002  0.13318237710279499       0.41070965913174418      -0.24242829140074823      -0.97016932724577198     
           6           1   1.0002072315808748        5.5051213353940207E-003  0.19996593964157403      -0.53931108638101743       -7.3747129486641375E-002  0.99727697300824136     
           7           1  0.99549641262716981        1.3887982917748733E-002   6.4055071942098044E-002 -0.25776246481601994        6.7628016881058406E-002  0.99771060500163833     
           8           1  0.99110601480857319        1.8909945992232981E-002   2.4585599299637308E-002 -0.16309425885628609       0.10587071242494066       0.99437990338232185     
           9           1  0.98900217259052148        1.9266782850321462E-002  -9.8451586531893656E-004  -9.2490267928097489E-002  0.12186575900975043       0.99254659174316706     
          10           1  0.98788943509796756        1.7236654860365408E-002  -1.5897858398649857E-002  -7.1890453590332637E-002  0.13009931576102346       0.99150096724033188     
           1           2 -0.99600658979483614       -2.0875942510480937E-002  -2.6440747211508336E-002  0.16226388410674911       -4.0573600178046537E-002 -0.99917655245136339     
           2           2 -0.99556601988083981       -2.4484274130192121E-002  -2.8506198368557542E-002  0.14164577541352344       -4.8864982943985953E-002 -0.99880539317821271     
           3           2 -0.99437622895129330       -2.8066736472272539E-002  -2.5648408958797969E-002  0.16903452004356054       -6.4938664596747700E-002 -0.99788925730282863     
           4           2 -0.99008856671778489       -2.6824036982360154E-002  -4.1851604529214931E-003  0.21847086060425411      -0.10319019839709984      -0.99466164244670008     
           5           2 -0.96053671396209661       -1.8729648472569336E-002  0.21588299919581130       0.58528600252565399      -0.24242829140074826      -0.97016932724577210     
           6           2   1.0002072315808748        9.2119013496881497E-003  0.29671529596373503      -0.82641557857202630       -7.3747129486641361E-002  0.99727697300824125     
           7           2  0.99549641262716981        2.2186206013561031E-002   9.3650263436615463E-002 -0.39768500771169646        6.7628016881058406E-002  0.99771060500163844     
           8           2  0.99110601480857319        3.0975656525865224E-002   3.4204579640279634E-002 -0.26540662976769402       0.10587071242494064       0.99437990338232185     
           9           2  0.98900217259052148        3.1536391863335816E-002  -4.6823719569895660E-003 -0.16636757383141176       0.12186575900975044       0.99254659174316728     
          10           2  0.98788943509796756        2.8033867593087347E-002  -2.7640985283553951E-002 -0.14379042061150205       0.13009931576102343       0.99150096724033177     
           1           3 -0.99600658979483614       -1.1771255376235166E-002  -3.5976246194923879E-002  0.20766323312337825       -4.0573600178046544E-002 -0.99917655245136339     
           2           3 -0.99556601988083981       -1.4237353607875147E-002  -3.5321657517520658E-002  0.18952188193614239       -4.8864982943985953E-002 -0.99880539317821271     
           3           3 -0.99437622895129330       -1.6227894788763499E-002  -2.6219595156183686E-002  0.22634001355174271       -6.4938664596747714E-002 -0.99788925730282885     
           4           3 -0.99008856671778489       -1.4360339932016195E-002   6.0196472715379808E-003  0.28455872491565032      -0.10319019839709984      -0.99466164244670008     
           5           3 -0.96053671396209661       -9.2672448367278129E-003  0.26660188688743564       0.68377732722254569      -0.24242829140074820      -0.97016932724577198     
           6           3   1.0002072315808748        5.6186873219126500E-003  0.35145285799675130      -0.99730941918434701       -7.3747129486641361E-002  0.99727697300824136     
           7           3  0.99549641262716981        1.2167787125882401E-002  0.11210512246999831      -0.48410483409195165        6.7628016881058406E-002  0.99771060500163833     
           8           3  0.99110601480857319        1.7474701080253688E-002   4.1306662547534866E-002 -0.33857926519248877       0.10587071242494064       0.99437990338232174     
           9           3  0.98900217259052148        1.7755242255109507E-002  -7.4856631661718047E-003 -0.22425268154262923       0.12186575900975045       0.99254659174316717     
          10           3  0.98788943509796756        1.5688350037204563E-002  -3.6157953883503617E-002 -0.19667123682555843       0.13009931576102343       0.99150096724033177     
           1           4 -0.99600658979483614       -5.0950427457570127E-003  -4.0705712074838356E-002  0.22974823961225838       -4.0573600178046523E-002 -0.99917655245136316     
           2           4 -0.99556601988083981       -6.2020146775735585E-003  -3.8355059027732757E-002  0.21502041666255123       -4.8864982943985953E-002 -0.99880539317821271     
           3           4 -0.99437622895129330       -6.9298908565298550E-003  -2.5868347058171509E-002  0.25670000486807437       -6.4938664596747714E-002 -0.99788925730282874     
           4           4 -0.99008856671778489       -5.9005620996230024E-003   1.1182572697672187E-002  0.31686367115849090      -0.10319019839709984      -0.99466164244670008     
           5           4 -0.96053671396209661       -3.7528533085155473E-003  0.28985337836649983       0.72790519707932810      -0.24242829140074817      -0.97016932724577198     
           6           4   1.0002072315808748        2.6389754513545648E-003  0.37607638905690888       -1.0773629302266263       -7.3747129486641361E-002  0.99727697300824125     
           7           4  0.99549641262716981        5.2724457532520377E-003  0.11982598796283830      -0.52385395072236807        6.7628016881058406E-002  0.99771060500163833     
           8           4  0.99110601480857319        7.3037030834184752E-003   4.4196700878473674E-002 -0.37474406654725928       0.10587071242494063       0.99437990338232163     
           9           4  0.98900217259052148        7.3989665429272100E-003  -8.6300825260575767E-003 -0.25499731074900794       0.12186575900975045       0.99254659174316728     
          10           4  0.98788943509796756        6.6100131638958254E-003  -3.9596772156284085E-002 -0.22449822418175241       0.13009931576102343       0.99150096724033177     
           1           5 -0.99600658979483614       -1.3480466217344542E-003  -4.2379444376350120E-002  0.23803509974367087       -4.0573600178046530E-002 -0.99917655245136328     
           2           5 -0.99556601988083981       -1.6373980718465686E-003  -3.9376543206264436E-002  0.22482724558848122       -4.8864982943985946E-002 -0.99880539317821260     
           3           5 -0.99437622895129330       -1.8102713202923434E-003  -2.5680503452217777E-002  0.26832061423512132       -6.4938664596747714E-002 -0.99788925730282874     
           4           5 -0.99008856671778489       -1.5323585417451879E-003   1.3033915419445850E-002  0.32895061356440802      -0.10319019839709984      -0.99466164244670019     
           5           5 -0.96053671396209661       -9.7172548524707125E-004  0.29821868296863252       0.74383410607920375      -0.24242829140074826      -0.97016932724577198     
           6           5   1.0002072315808748        7.2706814373588180E-004  0.38486813819246374       -1.1067063814995266       -7.3747129486641375E-002  0.99727697300824136     
           7           5  0.99549641262716981        1.4028817231817384E-003  0.12240391496261514      -0.53837772619548074        6.7628016881058406E-002  0.99771060500163833     
           8           5  0.99110601480857319        1.8947125367969886E-003   4.5109548307606051E-002 -0.38824084263589737       0.10587071242494064       0.99437990338232174     
           9           5  0.98900217259052148        1.9133333008316961E-003  -9.0186692556586592E-003 -0.26672956600502268       0.12186575900975047       0.99254659174316717     
          10           5  0.98788943509796756        1.7188758594123693E-003  -4.0721597004566110E-002 -0.23511653260959414       0.13009931576102343       0.99150096724033177     
           1           6 -0.99600658979483614        1.3480466217356960E-003  -4.2379444376352562E-002  0.23803509974368986       -4.0573600178046530E-002 -0.99917655245136328     
           2           6 -0.99556601988083981        1.6373980718472764E-003  -3.9376543206266122E-002  0.22482724558847911       -4.8864982943985946E-002 -0.99880539317821260     
           3           6 -0.99437622895129330        1.8102713202927945E-003  -2.5680503452218274E-002  0.26832061423512166       -6.4938664596747714E-002 -0.99788925730282874     
           4           6 -0.99008856671778489        1.5323585417456596E-003   1.3033915419446141E-002  0.32895061356440652      -0.10319019839709984      -0.99466164244670019     
           5           6 -0.96053671396209661        9.7172548524734892E-004  0.29821868296863158       0.74383410607919620      -0.24242829140074826      -0.97016932724577198     
